,duration,id,cls,coords
40,600.0000000000001,5.0,0.0,"[array([[[407, 497]],

       [[406, 497]],

       [[406, 497]],

       [[406, 497]],

       [[406, 497]]], dtype=int32)]"
41,600.0000000000001,6.0,0.0,"[array([[[351, 573]],

       [[351, 573]],

       [[350, 573]],

       [[350, 573]],

       [[350, 573]]], dtype=int32)]"
42,700.0000000000001,1.0,0.0,"[array([[[294, 418]],

       [[294, 419]],

       [[294, 419]],

       [[294, 419]],

       [[294, 420]]], dtype=int32)]"
43,700.0000000000001,2.0,0.0,"[array([[[246, 468]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]]], dtype=int32)]"
44,700.0000000000001,3.0,0.0,"[array([[[404, 438]],

       [[404, 438]],

       [[404, 439]],

       [[404, 439]],

       [[404, 439]]], dtype=int32)]"
45,700.0000000000001,4.0,0.0,"[array([[[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]]], dtype=int32)]"
46,700.0000000000001,5.0,0.0,"[array([[[407, 497]],

       [[406, 497]],

       [[406, 497]],

       [[406, 497]],

       [[406, 497]]], dtype=int32)]"
47,700.0000000000001,6.0,0.0,"[array([[[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[350, 573]],

       [[350, 573]]], dtype=int32)]"
48,800.0,1.0,0.0,"[array([[[294, 418]],

       [[294, 419]],

       [[294, 419]],

       [[294, 419]],

       [[294, 419]]], dtype=int32)]"
49,800.0,2.0,0.0,"[array([[[246, 468]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]]], dtype=int32)]"
50,800.0,3.0,0.0,"[array([[[404, 438]],

       [[404, 438]],

       [[404, 438]],

       [[404, 439]],

       [[404, 439]]], dtype=int32)]"
51,800.0,4.0,0.0,"[array([[[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]],

       [[248, 529]]], dtype=int32)]"
52,800.0,5.0,0.0,"[array([[[407, 497]],

       [[407, 497]],

       [[406, 497]],

       [[406, 497]],

       [[406, 497]]], dtype=int32)]"
53,800.0,6.0,0.0,"[array([[[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[351, 573]],

       [[350, 573]]], dtype=int32)]"
54,900.0,1.0,0.0,"[array([[[294, 418]],

       [[294, 418]],

       [[294, 419]],

       [[294, 419]],

       [[294, 419]]], dtype=int32)]"
55,900.0,2.0,0.0,"[array([[[246, 468]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]],

       [[246, 467]]], dtype=int32)]"
